"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD722","Rachel Nixon","SCS2","Director Indirect Tax","Director Indirect Tax","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","794772","1.00","115000","115000","","Policy Profession","London","nan","1.00"
"OD725","N/D","SCS1","DD Counter Avoidance Operations Delivery 3","DD Counter Avoidance Operations Delivery 3","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","7277196","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1.00"
"OD729","N/D","SCS1","DD Customer Technical & Product Ownersip","DD Customer Technical & Product Ownersip","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","3990947","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD730","N/D","SCS1","Deputy Director - NI Policy","Deputy Director - NI Policy","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","2490736","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD731","N/D","SCS1","HR Director Regional Transformation","HR Director Regional Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1141","3625846","0.85","N/A","N/A","","Human Resources Profession","Wales","nan","1.00"
"OD734","N/D","SCS1","DD Head of Guidance, Stakeholder Engagement, Transit Authorisations & Facilitations","DD Head of Guidance, Stakeholder Engagement, Transit Authorisations & Facilitations","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","3334930","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD751","N/D","SCS1","DD Customs Operational Lead","DD Customs Operational Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","33441665","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD753","Vacant","SCS1","Deputy Director - Diversity & Inclusion","Deputy Director - Diversity & Inclusion","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 10/03/2026","1.00"
"OD755","N/D","SCS1","Director of People Analytics and Insight","Director of People Analytics and Insight","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD252","2979689","1.00","N/A","N/A","","Government Social Research Profession","West Midlands","nan","1.00"
"OD757","N/D","SCS1","Deputy Director, Guidance","Deputy Director, Guidance","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","11256206","1.00","N/A","N/A","","Operational Delivery Profession","Scotland","nan","1.00"
"OD758","N/D","SCS1","Service owner: Corporate services","Service owner: Corporate services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD1003","127010","1.00","N/A","N/A","","Other","South West","Reporting To Costs Escalated to OD1003","1.00"
"OD759","N/D","SCS1","Service Owner: CDPO Head of Governance and Delivery Enablement","Service Owner: CDPO Head of Governance and Delivery Enablement","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","9089675","1.00","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD760","N/D","SCS1","Service owner: Criminal investigation and avoidance disruption","Service owner: Criminal investigation and avoidance disruption","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD695","3096584","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD763","N/D","SCS1","Service Owner: Debt Management and Liabilities","Service Owner: Debt Management and Liabilities","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD1058","480317","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD764","N/D","SCS1","Service owner: Business Tax","Service owner: Business Tax","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","3099219","1.00","N/A","N/A","","Digital, Data and Technology Professions","East Midlands","nan","1.00"
"OD765","N/D","SCS1","Deputy Director, Tax Administration Framework Review","Deputy Director, Tax Administration Framework Review","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD570","1164145","1.00","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD767","Max Hacon","SCS2","Director of Policy and Business Programmes","Director of Policy and Business Programmes","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","1067733","1.00","115000","115000","","Project Delivery Profession","North East","nan","1.00"
"OD768","Ann Conway-Hughes","SCS2","Director Transformation","Director Transformation","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","478845","0.60","160000","160000","","Other","London","nan","1.00"
"OD769","Gill Evans","SCS2","Director of Border Service, Data & Desgin","Director of Border Service, Data & Desgin","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD781","655945","1.00","115000","115000","","Project Delivery Profession","North West","nan","1.00"
"OD770","Vacant","SCS1","Director of Customs Operational Services","Director of Customs Operational Services","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 28/11/2024","1.00"
"OD771","Vacant","SCS1","HR Director Transforming the Way we Work and Equality, Diversity & Inclusion","HR Director Transforming the Way we Work and Equality, Diversity & Inclusion","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 07/10/2025","1.00"
"OD774","N/D","SCS1","Deputy Director Customs Strategy & Capability","Deputy Director Customs Strategy & Capability","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","3297945","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD775","N/D","SCS1","DD Import/Export Deputy Regime Owner, Customs Controls, Declarations, Infrastructure and Briefing (Role 1)","DD Import/Export Deputy Regime Owner, Customs Controls, Declarations, Infrastructure and Briefing (Role 1)","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","220527","0.48","N/A","N/A","","Policy Profession","London","Reporting To Costs Escalated to OD618","1.00"
"OD777","N/D","SCS1","DD Counter Avoidance Policy and Technical 1","DD Counter Avoidance Policy and Technical 1","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","549512","0.80","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD778","N/D","SCS1","Deputy Director Strategy","Deputy Director Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","7741790","1.00","N/A","N/A","","Intelligence Analysis","London","nan","1.00"
"OD779","N/D","SCS1","Director of Cyber Security Operations","Director of Cyber Security Operations","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD420","2096026","1.00","N/A","N/A","","Internal Audit Profession","East Midlands","nan","1.00"
"OD781","Carol Bristow","SCS3","Director General - Borders and Trade","Director General - Borders and Trade","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD101","626794","1.00","150000","150000","","Government Tax Profession","London","nan","1.00"
"OD783","N/D","SCS1","Service owner: Valuation Office Customer Group","Service owner: Valuation Office Customer Group","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","3641176","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD784","N/D","SCS1","Deputy Head of User-centred Design","Deputy Head of User-centred Design","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","6840255","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD785","N/D","SCS1","Chief of Staff and Head of Office to Chief Executive, HMRC","Chief of Staff and Head of Office to Chief Executive, HMRC","HM Revenue and Customs","HM Revenue and Customs","Permanent Secretary Office","0300 200 3300","contactUs@hmrc.gov.uk","OD101","1204604","1.00","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD786","N/D","SCS1","Deputy Director for Customer Education","Deputy Director for Customer Education","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","2582218","1.00","N/A","N/A","","Government Communication Service","South West","nan","1.00"
"OD791","N/D","SCS1","Deputy Director Investment Planning","Deputy Director Investment Planning","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","1070966","1.00","N/A","N/A","","Government Finance Profession","North West","nan","1.00"
"OD792","N/D","SCS1","Deputy Director Portfolio Strategy and Foresight.","Deputy Director Portfolio Strategy and Foresight.","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD507","1320865","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD794","Ian Clarke","SCS2","Director Financial Strategy & Performance","Director Financial Strategy & Performance","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","702179","1.00","120000","120000","","Government Finance Profession","London","nan","1.00"
"OD798","N/D","SCS1","Deputy Director for Communications, Borders & Trade","Deputy Director for Communications, Borders & Trade","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","569387","1.00","N/A","N/A","","Government Communication Service","South West","nan","1.00"
"OD802","N/D","SCS1","Deputy Director Head of Strategic Design","Deputy Director Head of Strategic Design","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","873470","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD806","N/D","SCS1","Deputy Director KAI Hub for Evidence, Assurance, Research and Technology (HEART)","Deputy Director KAI Hub for Evidence, Assurance, Research and Technology (HEART)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","5071020","1.00","N/A","N/A","","Government Statistical Service Profession","North West","Jobshare","1.00"
"OD806","N/D","SCS1","Deputy Director KAI Hub for Evidence, Assurance, Research and Technology (HEART)","Deputy Director KAI Hub for Evidence, Assurance, Research and Technology (HEART)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","5071020","1.00","N/A","N/A","","Government Statistical Service Profession","North West","Jobshare","1.00"
"OD807","N/D","SCS1","Deputy Director Strategy Planning and Performance","Deputy Director Strategy Planning and Performance","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","1154037","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD813","N/D","SCS1","Deputy Director Release Management","Deputy Director Release Management","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD507","0","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD814","N/D","SCS1","Deputy Director Digital Platforms Owner","Deputy Director Digital Platforms Owner","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","8583958","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD817","N/D","SCS1","Programme Director, Customs Declaration Service","Programme Director, Customs Declaration Service","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","578530","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD818","N/D","SCS1","Deputy Director Tax Administration: Policy (Flex)","Deputy Director Tax Administration: Policy (Flex)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","1639853","0.60","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD819","N/D","SCS1","Deputy Director – Policy Co-ordination Unit (PCU)","Deputy Director – Policy Co-ordination Unit (PCU)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","3048519","0.80","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD821","N/D","SCS1","Deputy Director for Engineering and Live Service (Customs and Border Platform)","Deputy Director for Engineering and Live Service (Customs and Border Platform)","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","6441237","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD825","N/D","SCS1","DD B6 Customs and Excise Advisory Team","DD B6 Customs and Excise Advisory Team","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","2486891","1.00","N/A","N/A","","Government Legal Profession","London","Jobshare","1.00"
"OD825","N/D","SCS1","DD B6 Customs and Excise Advisory Team","DD B6 Customs and Excise Advisory Team","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","2486891","1.00","N/A","N/A","","Government Legal Profession","London","Jobshare","1.00"
"OD827","Vacant","SCS1","Programme Director – Trader Support Service","Programme Director – Trader Support Service","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/07/2024","1.00"
"OD828","N/D","SCS1","Deputy Director Borders and Trade Strategy","Deputy Director Borders and Trade Strategy","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","0","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD830","N/D","SCS1","Deputy Director for People, Process and Technology","Deputy Director for People, Process and Technology","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1017","3187481","1.00","N/A","N/A","","Digital, Data and Technology Professions","East Midlands","nan","1.00"
"OD833","N/D","SCS1","Compliance Design Lead Repayments and Losses","Compliance Design Lead Repayments and Losses","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","806521","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD835","James Mitton","SCS3","Director General Enterprise Transformation","Director General Enterprise Transformation","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD102","902345","1.00","150000","150000","","Operational Delivery Profession","North West","nan","1.00"
"OD837","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","538439","1.00","N/A","N/A","","Digital, Data and Technology Professions","Wales","nan","1.00"
"OD838","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","362819","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD839","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD840","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","284435","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","Reporting To Costs Escalated to OD705","1.00"
"OD841","N/D","SCS1","Principal Business Architect","Principal Business Architect","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","488991","1.00","N/A","N/A","","Digital, Data and Technology Professions","Wales","nan","1.00"
"OD843","Vacant","SCS1","Director Business Driven Change & Pensions Director","Director Business Driven Change & Pensions Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 29/11/2024","1.00"
"OD845","Vacant","SCS1","DD CCG Transformation Business Partnering Lead","DD CCG Transformation Business Partnering Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD846","N/D","SCS1","DD CCG Transformation Programme and Project Management Lead","DD CCG Transformation Programme and Project Management Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD768","6775705","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD847","N/D","SCS1","DD CCG Transformation Business Change Lead","DD CCG Transformation Business Change Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD768","270652","1.00","N/A","N/A","","Project Delivery Profession","London","Reporting To Costs Escalated to OD768","1.00"
"OD850T","N/D","SCS1","Deputy Director RIS Strategic Risking","Deputy Director RIS Strategic Risking","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","3546864","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD852","N/D","SCS1","DD Economic Crime","DD Economic Crime","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","29281399","1.00","N/A","N/A","","Counter-fraud Standards and Profession","London","nan","1.00"
"OD853","N/D","SCS1","DD Investigation Services","DD Investigation Services","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","25230116","1.00","N/A","N/A","","Counter-fraud Standards and Profession","Scotland","nan","1.00"
"OD855","N/D","SCS1","Portfolio Delivery Deputy Director","Portfolio Delivery Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD768","2687220","1.00","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"OD858","N/D","SCS1","DD Import/Export Deputy Regime Owner, Customs Controls, Declarations, Infrastructure and Briefing (Role 2)","DD Import/Export Deputy Regime Owner, Customs Controls, Declarations, Infrastructure and Briefing (Role 2)","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1865814","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD864T","N/D","SCS1","Programme Director, Single Customs Platform Programme","Programme Director, Single Customs Platform Programme","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD565","5644938","1.00","N/A","N/A","","Project Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD865","N/D","SCS1","DD Reviews, Miniserial Correspondence (mincom) and informationa rights","DD Reviews, Miniserial Correspondence (mincom) and informationa rights","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD605","23324505","1.00","N/A","N/A","","Government Legal Profession","North East","nan","1.00"
"OD866","N/D","SCS1","DD Operational Litigation","DD Operational Litigation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","23709898","1.00","N/A","N/A","","Government Legal Profession","East Midlands","nan","1.00"
"OD868","N/D","SCS1","Deputy Director Capability Development","Deputy Director Capability Development","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","938145","1.00","N/A","N/A","","Project Delivery Profession","East Midlands","nan","1.00"
"OD869","Vacant","SCS1","Data Protection Remediation Programme Director","Data Protection Remediation Programme Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/07/2024","1.00"
"OD870","Vacant","SCS1","Deputy Director, RIS People, Planning and Performance Change","Deputy Director, RIS People, Planning and Performance Change","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD873","N/D","SCS1","Programme Director for the digitising post programme","Programme Director for the digitising post programme","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD570","487871","1.00","N/A","N/A","","Operational Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD875","N/D","SCS1","Programme Director Debt Transformation","Programme Director Debt Transformation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1104","2638400","1.00","N/A","N/A","","Project Delivery Profession","West Midlands","nan","1.00"
"OD878","N/D","SCS1","Head of Inland Border Facilities","Head of Inland Border Facilities","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD769","1913862","1.00","N/A","N/A","","Operational Delivery Profession","Wales","nan","1.00"
"OD882","N/D","SCS1","Programme Director – Intermediaries Programme","Programme Director – Intermediaries Programme","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD767","1137343","0.54","N/A","N/A","","Project Delivery Profession","East Midlands","nan","1.00"
"OD884","N/D","SCS1","Project Delivery Director - GB Declaration Imports & Exports","Project Delivery Director - GB Declaration Imports & Exports","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD565","2158279","1.00","N/A","N/A","","Project Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD885","N/D","SCS1","Out on loan to MoD","Out on loan to MoD","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD565","447625","1.00","N/A","N/A","","Project Delivery Profession","South West","nan","1.00"
"OD888","Vacant","SCS1","Account Management - Ports and Carriers","Account Management - Ports and Carriers","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD889","Vacant","SCS1","Account Management - Traders and Intermeddiaries","Account Management - Traders and Intermeddiaries","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD892","Paul Williams","SCS2","Director Technology Transformation","Director Technology Transformation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","744838","1.00","110000","110000","","Project Delivery Profession","West Midlands","nan","1.00"
"OD893","Vacant","SCS1","Director of Strategic Workforce Planning, Business Partnering and Culture","Director of Strategic Workforce Planning, Business Partnering and Culture","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 16/02/2026","1.00"
"OD894","N/D","SCS1","Head of Project Professional Excellence","Head of Project Professional Excellence","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","1919547","1.00","N/A","N/A","","Project Delivery Profession","South East","nan","1.00"
"OD895","N/D","SCS1","Deputy Director, Information Management and Security","Deputy Director, Information Management and Security","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD562","1987087","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD896","Vacant","SCS1","Principal Business Architect 6 - Programme","Principal Business Architect 6 - Programme","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD897","Vacant","SCS1","DD Customer Support & Resolution (CSR)","DD Customer Support & Resolution (CSR)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD905","N/D","SCS1","CDS Migration and onboarding","CDS Migration and onboarding","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD892","1119198","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD906","N/D","SCS1","Deputy Director, Operational Capacity Planning","Deputy Director, Operational Capacity Planning","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","1510083","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD907","N/D","SCS1","Deputy Director Payments Programme","Deputy Director Payments Programme","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD543","1434096","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD911","N/D","SCS1","CS&TD Strategic Corporate Change and Collaboration Lead","CS&TD Strategic Corporate Change and Collaboration Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","1437051","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD912","N/D","SCS1","DD Workplace Operations","DD Workplace Operations","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","0","1.00","N/A","N/A","","Government Property Profession","Unknown","nan","1.00"
"OD913","N/D","SCS1","DD Workplace Policy & Planning","DD Workplace Policy & Planning","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","3370054","1.00","N/A","N/A","","Government Property Profession","Yorkshire and The Humber","nan","1.00"
"OD915","N/D","SCS1","Programme Director HR Transformation","Programme Director HR Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1136T","647446","0.53","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD917","Vacant","SCS1","Portfolio Director - Business Rates Transformation","Portfolio Director - Business Rates Transformation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 28/03/2025","1.00"
"OD918","Vacant","SCS1","Finance and Business Director","Finance and Business Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 10/03/2026","1.00"
